Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Theme
491,001820,KR7001820000,삼화콘덴서,KOSPI,,66900,1,3800,6.02,64000,67600,63300,394918,25980701900,695425500000,10395000,STK,기타
492,017900,KR7017900002,광전자,KOSPI,,11970,2,-930,-7.21,12840,12840,11040,12489801,147086868195,693586843110,57943763,STK,기타
493,001500,KR7001500008,현대차증권,KOSPI,,11200,1,50,0.45,11190,11250,11120,161478,1803869765,692530092800,61833044,STK,기타
497,094800,KR7094800000,맵스리얼티,KOSPI,,7300,1,200,2.82,7100,7450,7030,259270,1884301375,677690616300,92834331,STK,기타
498,005250,KR7005250006,녹십자홀딩스,KOSPI,,14340,2,-30,-0.21,14480,14580,14190,133244,1904451420,674384531400,47028210,STK,기타
499,058650,KR7058650003,세아홀딩스,KOSPI,,156100,2,-2000,-1.27,158000,159400,156000,4431,697292000,673296139600,4313236,STK,기타
501,002840,KR7002840007,미원상사,KOSPI,,140900,1,300,0.21,140600,141700,139200,3039,426781300,669275000000,4750000,STK,기타
502,000400,KR7000400002,롯데손해보험,KOSPI,,2135,2,-20,-0.93,2175,2180,2110,437770,934852072,662568043200,310336320,STK,기타
503,039130,KR7039130000,하나투어,KOSPI,,42700,1,300,0.71,42650,43050,42250,61832,2632447100,661420096400,15489932,STK,기타
505,017940,KR7017940008,E1,KOSPI,,96300,2,-100,-0.1,96800,96900,95200,9980,956874800,660618000000,6860000,STK,기타
508,002240,KR7002240000,고려제강,KOSPI,,24100,1,50,0.21,24600,25450,24000,67529,1662847750,650700000000,27000000,STK,기타
509,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,,96400,2,-700,-0.72,97400,97800,96000,12095,1168877500,649015602800,6732527,STK,기타
511,383800,KR7383800000,LX홀딩스,KOSPI,,8500,3,0,0.0,8570,8630,8480,92809,794091825,648385865000,76280690,STK,기타
513,002960,KR7002960003,한국쉘석유,KOSPI,,497000,2,-9000,-1.78,506000,506000,497000,1875,934853750,646100000000,1300000,STK,기타
514,005810,KR7005810007,풍산홀딩스,KOSPI,,44650,2,-800,-1.76,45350,45350,44500,150055,6720658175,643732087800,14417292,STK,기타
515,448730,KR7448730002,삼성FN리츠,KOSPI,,7070,1,270,3.97,6890,7190,6800,227528,1595922285,643723500000,91050000,STK,기타
516,130660,KR7130660004,한전산업,KOSPI,,19650,1,120,0.61,19680,20250,19420,395393,7795704925,640590000000,32600000,STK,기타
519,001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,633275240400,63967196,STK,기타
522,009410,KR7009410002,태영건설,KOSPI,,2125,1,95,4.68,2040,2270,2030,4292672,9241830466,632378915750,297590078,STK,기타
525,003545,KR7003541000,대신증권우,KOSPI,,24800,1,100,0.4,24750,25000,24700,73013,1814622425,624753341600,25191667,STK,기타
526,271940,KR7271940009,일진하이솔루스,KOSPI,,17170,1,30,0.18,17360,17510,16900,91231,1557278275,623497472300,36313190,STK,기타
527,019170,KR7019170000,신풍제약,KOSPI,,11880,2,-840,-6.6,12780,12810,11820,945588,11491012820,622732041360,52418522,STK,기타
529,006380,KR7006380000,카프로,KOSPI,,3660,0,0,0.0,0,0,0,0,0,618539985360,168999996,STK,기타
530,268280,KR7268280005,미원에스씨,KOSPI,,121800,2,-1300,-1.06,123000,124000,121800,784,96036800,609000000000,5000000,STK,기타
